pageId	url	title	lastModified	fetchedAt	size	statusCode	fetched	htmlSnapshot	textSnapshot	lastError
43	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/31.html	Classic Albums: Meat Loaf: Bat Out of Hell (1999)	2023-05-16T05:03:36Z	2026-04-23T11:05:25.0846165Z	4787	200	true	pages\html\page-0043.html	pages\text\page-0043.txt	
44	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/32.html	ABC Primetime: Mel Gibson's The Passion of the Christ (2004)	2023-05-16T05:03:36Z	2026-04-23T11:05:25.120311Z	2716	200	true	pages\html\page-0044.html	pages\text\page-0044.txt	
45	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/33.html	Aqua Teen Hunger Force: Vol. 1 (2000)	2023-05-16T05:03:36Z	2026-04-23T11:05:25.1499747Z	2759	200	true	pages\html\page-0045.html	pages\text\page-0045.txt	
46	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/34.html	Ashtanga Yoga: Beginner's Practice with Nicki Doane (2003)	2023-05-16T05:03:36Z	2026-04-23T11:05:25.1676492Z	2702	200	true	pages\html\page-0046.html	pages\text\page-0046.txt	
47	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/35.html	Ferngully 2: The Magical Rescue (2000)	2023-05-16T05:03:36Z	2026-04-23T11:05:25.2013605Z	6086	200	true	pages\html\page-0047.html	pages\text\page-0047.txt	
48	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/36.html	Lady Chatterley (1992)	2023-05-16T05:03:36Z	2026-04-23T11:05:25.2369026Z	3839	200	true	pages\html\page-0048.html	pages\text\page-0048.txt	
49	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/37.html	Zatoichi's Conspiracy (1973)	2023-05-16T05:03:36Z	2026-04-23T11:05:25.2704813Z	6818	200	true	pages\html\page-0049.html	pages\text\page-0049.txt	
50	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/38.html	Daydream Obsession (2003)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.301309Z	3745	200	true	pages\html\page-0050.html	pages\text\page-0050.txt	
51	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/39.html	Love Reinvented (2000)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.3369644Z	6494	200	true	pages\html\page-0051.html	pages\text\page-0051.txt	
52	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/40.html	Pitcher and the Pin-Up (2004)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.3681552Z	5819	200	true	pages\html\page-0052.html	pages\text\page-0052.txt	
53	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/41.html	Horror Vision (2000)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.3848173Z	3793	200	true	pages\html\page-0053.html	pages\text\page-0053.txt	
54	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/42.html	Searching for Paradise (2002)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.4181855Z	6426	200	true	pages\html\page-0054.html	pages\text\page-0054.txt	
55	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/43.html	Silent Service (2000)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.4518626Z	3683	200	true	pages\html\page-0055.html	pages\text\page-0055.txt	
56	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/44.html	Spitfire Grill (1996)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.4868986Z	7514	200	true	pages\html\page-0056.html	pages\text\page-0056.txt	
57	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/45.html	The Love Letter (1999)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.5016954Z	3511	200	true	pages\html\page-0057.html	pages\text\page-0057.txt	
58	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/46.html	Rudolph the Red-Nosed Reindeer (1964)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.5351333Z	2849	200	true	pages\html\page-0058.html	pages\text\page-0058.txt	
59	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/47.html	The Bad and the Beautiful (1952)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.5680406Z	3892	200	true	pages\html\page-0059.html	pages\text\page-0059.txt	
60	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/48.html	Justice League (2001)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.5851397Z	3580	200	true	pages\html\page-0060.html	pages\text\page-0060.txt	
61	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/49.html	Devo: The Complete Truth About De-evolution (2003)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.6182938Z	2866	200	true	pages\html\page-0061.html	pages\text\page-0061.txt	
62	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/50.html	A Yank in the R.A.F. (1941)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.6504741Z	7217	200	true	pages\html\page-0062.html	pages\text\page-0062.txt	
63	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/51.html	Jonah: A VeggieTales Movie: Bonus Material (2002)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.6681908Z	2781	200	true	pages\html\page-0063.html	pages\text\page-0063.txt	
64	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/52.html	The Weather Underground (2002)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.7017588Z	10792	200	true	pages\html\page-0064.html	pages\text\page-0064.txt	
65	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/53.html	The Bonesetter (2003)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.7377754Z	3566	200	true	pages\html\page-0065.html	pages\text\page-0065.txt	
66	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/54.html	We're Not Married (1952)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.768727Z	5636	200	true	pages\html\page-0066.html	pages\text\page-0066.txt	
67	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/55.html	Jade (1995)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.7850305Z	7977	200	true	pages\html\page-0067.html	pages\text\page-0067.txt	
68	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/56.html	Carandiru (2004)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.8182741Z	2769	200	true	pages\html\page-0068.html	pages\text\page-0068.txt	
69	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/57.html	Richard III (1995)	2023-05-16T05:03:38Z	2026-04-23T11:05:25.8518922Z	7318	200	true	pages\html\page-0069.html	pages\text\page-0069.txt	
70	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/58.html	Dragonheart (1996)	2023-05-16T05:03:40Z	2026-04-23T11:05:25.8850843Z	7828	200	true	pages\html\page-0070.html	pages\text\page-0070.txt	
71	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/59.html	Sex and the Beauties (2003)	2023-05-16T05:03:40Z	2026-04-23T11:05:25.9018688Z	6428	200	true	pages\html\page-0071.html	pages\text\page-0071.txt	
72	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/60.html	The Libertine (1969)	2023-05-16T05:03:40Z	2026-04-23T11:05:25.9352126Z	3873	200	true	pages\html\page-0072.html	pages\text\page-0072.txt	
73	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/61.html	Ricky Martin: One Night Only (1999)	2023-05-16T05:03:40Z	2026-04-23T11:05:25.9685094Z	4172	200	true	pages\html\page-0073.html	pages\text\page-0073.txt	
74	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/62.html	Ken Burns' America: Empire of the Air (1991)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.0019575Z	3769	200	true	pages\html\page-0074.html	pages\text\page-0074.txt	
